ID,Hotels,Type,Region,Rating,Popularity,Opening_Hours,Budget,Facilities
27,Cherry Maryski Hotel,Mid-Range,Alexandria,4,High,24/7,Medium,"Pool, Gym, Restaurant"
28,Hilton Luxor Resort & Spa,Luxury,Luxor,4.5,High,24/7,High,"Spa, Pool, Gym, Restaurant"
29,Sonesta St. George Hotel Luxor,Luxury,Luxor,4.6,Medium,24/7,High,"Spa, Pool, Gym, Restaurant"
30,Mercure Luxor Karnak,Mid-Range,Luxor,4.2,High,24/7,Medium,"Pool, Gym, Restaurant"
31,Jolie Ville Resort & Spa Kings Island Luxor,Luxury,Luxor,4.4,Medium,24/7,High,"Spa, Pool, Gym, Restaurant"
32,Iberotel Luxor,Mid-Range,Luxor,4.3,Medium,24/7,Medium,"Spa, Pool, Gym, Restaurant"
33,Achti Resort Luxor,Luxury,Luxor,4.1,High,24/7,Medium,"Spa, Pool, Gym, Restaurant"
34,Maritim Jolie Ville Resort & Casino Sharm El Sheikh,Luxury,Sharm El Sheikh,4.3,Medium,24/7,High,"Spa, Pool, Gym, Restaurant"
35,"Sheraton Sharm Hotel, Resort, Villas & Spa",Luxury,Sharm El Sheikh,4.1,Medium,24/7,Medium,"Spa, Pool, Gym, Restaurant"
36,Baron Resort Sharm El Sheikh,Luxury,Sharm El Sheikh,4,Medium,24/7,Medium,"Spa, Pool, Gym, Restaurant"
37,Renaissance Sharm El Sheikh Golden View Beach Resort,Luxury,Sharm El Sheikh,4.2,High,24/7,Medium,"Pool, Gym, Restaurant"
38,Sofitel Legend Old Cataract Aswan,Mid-Range,Aswan,4.9,Medium,24/7,High,"Spa, Pool, Gym, Restaurant"
39,Basma Hotel Aswan,Mid-Range,Aswan,4.1,Medium,24/7,Medium,"Spa, Pool, Gym, Restaurant"
40,Hapi Hotel,Mid-Range,Aswan,3.8,Medium,24/7,Medium,"Spa, Pool, Gym, Restaurant"
41,Philae Hotel Aswan,Luxury,Aswan,3.9,Medium,24/7,Medium,"Spa, Pool, Gym, Restaurant"
42,Pyramisa Suites Hotel Cairo,Luxury,Cairo,4,High,24/7,Medium,"Spa, Pool, Gym, Restaurant"
43,Le Passage Cairo Hotel & Casino,Luxury,Cairo,4.2,High,24/7,High,"Spa, Pool, Gym, Restaurant"
44,The Gabriel Hotel,Luxury,Cairo,4.2,High,24/7,Medium,"Spa, Pool, Gym, Restaurant"
45,Dusit Thani LakeView Cairo,Luxury,Cairo,4.3,High,24/7,Medium,"Spa, Pool, Gym, Restaurant"
46,Royal Maxim Palace Kempinski Cairo,Luxury,Cairo,4.3,High,24/7,High,"Spa, Pool, Gym, Restaurant"
47,"The St. Regis Almasa Hotel, Cairo",Luxury,Cairo,4.4,High,24/7,Medium,"Spa, Pool, Gym, Restaurant"
48,Triumph Plaza Hotel,Mid-Range,Cairo,4.2,High,24/7,Medium,"Spa, Pool, Gym, Restaurant"
49,Tiba Pyramids Hotel,Mid-Range,Giza,3.9,Medium,24/7,Medium,"Spa, Pool, Gym, Restaurant"
50,Barcelo Cairo Pyramids,Mid-Range,Giza,3.8,Medium,24/7,Medium,"Spa, Pool, Gym, Restaurant"
51,Pyramids Park Resort Cairo,Mid-Range,Giza,3.8,Medium,24/7,Medium,"Spa, Pool, Gym, Restaurant"
52,Cataract Pyramids Resort,Mid-Range,Giza,3.8,Medium,24/7,Medium,"Spa, Pool, Gym, Restaurant"
53,Swiss Inn Pyramids Golf Resort & Swiss Inn Plaza,Mid-Range,Giza,3.8,Medium,24/7,Medium,"Spa, Pool, Gym, Restaurant"
54,Aracan Pyramids Hotel,Luxury,Giza,3.9,Medium,24/7,Medium,"Spa, Pool, Gym, Restaurant"
55,Grand Pyramids Hotel,Mid-Range,Giza,3.8,High,24/7,Medium,"Spa, Pool, Gym, Restaurant"
56,Soluxe Cairo Hotel,Mid-Range,Cairo,3.7,Medium,24/7,Medium,"Spa, Pool, Gym, Restaurant"
57,Golden Tulip Hotel Flamenco Cairo,Mid-Range,Cairo,4.1,Medium,24/7,Medium,"Spa, Pool, Gym, Restaurant"
58,Om Kolthoom Hotel & Tower,Mid-Range,Cairo,3.8,Medium,24/7,Medium,"Spa, Pool, Gym, Restaurant"
59,New Garden Palace Hotel,Budget,Cairo,3.6,Medium,24/7,Medium,"Spa, Pool, Gym, Restaurant"
60,Cairo Khan Hotel,Budget,Cairo,3.8,Medium,24/7,Medium,"Spa, Pool, Gym, Restaurant"
61,City View Hotel,Budget,Cairo,3.8,Medium,24/7,Medium,"Spa, Pool, Gym, Restaurant"
62,Lotus Hotel,Budget,Cairo,3.5,Medium,24/7,Medium,"Spa, Pool, Gym, Restaurant"
63,Happy City Hotel,Budget,Cairo,3.4,Medium,24/7,Medium,"Spa, Pool, Gym, Restaurant"
64,Capsis Palace Hotel,Budget,Cairo,3.6,Medium,24/7,Medium,"Spa, Pool, Gym, Restaurant"
65,Talisman Hotel,Budget,Cairo,3.5,Medium,24/7,Medium,"Spa, Pool, Gym, Restaurant"
66,Sara Hotel Aswan,Budget,Aswan,3.3,Medium,24/7,Medium,"Spa, Pool, Gym, Restaurant"
67,Citymax Hotel Aswan,Budget,Aswan,3.5,Medium,24/7,Medium,"Spa, Pool, Gym, Restaurant"
68,Nuba Nile Hotel,Mid-Range,Aswan,3.6,Medium,24/7,Medium,"Spa, Pool, Gym, Restaurant"
69,Nile Hotel Aswan,Mid-Range,Aswan,3.4,Medium,24/7,Medium,"Spa, Pool, Gym, Restaurant"
70,Amon Hotel Luxor,Budget,Luxor,3.4,Medium,24/7,Medium,"Spa, Pool, Gym, Restaurant"
71,New Pola Hotel Luxor,Mid-Range,Luxor,3.5,Medium,24/7,Medium,"Spa, Pool, Gym, Restaurant"
72,"Gaddis Hotel, Suites and Apartments",Mid-Range,Luxor,3.6,Medium,24/7,Medium,"Spa, Pool, Gym, Restaurant"
73,Pavillon Winter Luxor,Luxury,Luxor,3.4,Medium,24/7,Medium,"Spa, Pool, Gym, Restaurant"
74,Sunrise Holidays Resort Hurghada,Luxury,Hurghada,3.8,Medium,24/7,Medium,"Spa, Pool, Gym, Restaurant"
75,Hilton Hurghada Plaza,Luxury,Hurghada,3.9,High,24/7,Medium,"Spa, Pool, Gym, Restaurant"
76,Steigenberger ALDAU Beach Hotel,Luxury,Hurghada,3.7,High,24/7,Medium,"Spa, Pool, Gym, Restaurant"
77,Jaz Aquamarine Resort,Luxury,Hurghada,4.2,High,24/7,Medium,"Spa, Pool, Gym, Restaurant"
78,Baron Palace Sahl Hasheesh,Luxury,Hurghada,4.4,High,24/7,Medium,"Spa, Pool, Gym, Restaurant"
79,Sunrise Crystal Bay Resort - Grand Select,Luxury,Hurghada,4.4,High,24/7,Medium,"Spa, Pool, Gym, Restaurant"
80,Desert Rose Resort,Luxury,Hurghada,4.5,High,24/7,Medium,"Spa, Pool, Gym, Restaurant"
81,Tropitel Sahl Hasheesh,Luxury,Hurghada,4.6,High,24/7,Medium,"Spa, Pool, Gym, Restaurant"
