ID,Place,Type,Region,Rating,Popularity,Opening_Hours,Budget,Activity_Level,Indoor_Outdoor
47,Temple of Medinet Habu,Tourism,Luxor,4.8,88,6 AM - 5 PM,High,Relaxing,Outdoor
48,Colossi of Memnon,Tourism,Luxor,4.6,86,6 AM - 5 PM,High,Active,Outdoor
49,Temple of Esna,Tourism,Luxor,4.7,87,6 AM - 5 PM,High,Relaxing,Outdoor
50,Temple of Khnum,Tourism,Luxor,4.6,85,6 AM - 5 PM,High,Relaxing,Outdoor
51,Taba Heights,Natural,Sinai,4.7,88,24 hours,Medium,Relaxing,Outdoor
52,Fayoum Oasis,Natural,Western Desert,4.6,87,24 hours,Low,Relaxing,Outdoor
53,El Gouna,Entertainment,Red Sea,4.8,89,24 hours,High,Active,Outdoor
54,Hurghada Marina,Entertainment,Red Sea,4.7,90,24 hours,High,Active,Outdoor
55,Makadi Bay,Entertainment,Red Sea,4.6,87,24 hours,High,Active,Outdoor
56,Marsa Alam,Natural,Red Sea,4.7,88,24 hours,Medium,Relaxing,Outdoor
57,Port Ghalib,Entertainment,Red Sea,4.7,86,24 hours,High,Active,Outdoor
58,Wadi El Rayan,Natural,Western Desert,4.6,85,7 AM - 5 PM,Low,Relaxing,Outdoor
59,Wadi Hitan,Natural,Western Desert,4.8,89,7 AM - 5 PM,Low,Relaxing,Outdoor
60,Siwa Salt Lakes,Natural,Western Desert,4.9,90,24 hours,Low,Relaxing,Outdoor
61,Fjord Bay,Natural,Sinai,4.8,89,24 hours,Medium,Active,Outdoor
62,Ain Sokhna,Natural,Red Sea,4.6,87,24 hours,Medium,Active,Outdoor
63,Soma Bay,Entertainment,Red Sea,4.7,88,24 hours,High,Active,Outdoor
64,El Quseir,Tourism,Red Sea,4.5,86,24 hours,Medium,Active,Outdoor
65,Nuweiba,Natural,Sinai,4.6,87,24 hours,Medium,Relaxing,Outdoor
66,Dahshur Pyramids,Tourism,Giza,4.7,88,9 AM - 5 PM,Medium,Active,Outdoor
67,Beni Hasan,Tourism,Minya,4.6,86,8 AM - 4 PM,Low,Relaxing,Outdoor
68,Minya,Tourism,Minya,4.5,85,8 AM - 4 PM,Low,Relaxing,Outdoor
69,Amarna,Tourism,Minya,4.7,88,8 AM - 4 PM,Low,Relaxing,Outdoor
70,Deir el-Medina,Tourism,Luxor,4.8,89,6 AM - 5 PM,Medium,Relaxing,Outdoor
71,Meidum Pyramid,Tourism,Giza,4.6,87,8 AM - 4 PM,Medium,Active,Outdoor
72,Temple of Hibis,Tourism,Western Desert,4.7,88,8 AM - 4 PM,Low,Active,Outdoor
73,Temple of Hibis,Tourism,Western Desert,4.7,88,8 AM - 4 PM,Low,Active,Outdoor
74,Temple of Luxor,Tourism,Luxor,4.8,89,6 AM - 5 PM,Medium,Active,Outdoor
75,Temple of Horus,Tourism,Luxor,4.7,88,6 AM - 5 PM,Medium,Active,Outdoor
76,Temple of Hathor,Tourism,Luxor,4.7,88,6 AM - 5 PM,Medium,Active,Outdoor
77,Temple of Seti I,Tourism,Luxor,4.8,89,6 AM - 5 PM,Medium,Active,Outdoor
78,Tomb of Ramses VI,Tourism,Luxor,4.7,88,6 AM - 5 PM,Medium,Active,Outdoor
79,Temple of Rameses III,Tourism,Luxor,4.6,87,6 AM - 5 PM,Medium,Active,Outdoor
80,Tomb of Nefertari,Tourism,Luxor,4.7,88,6 AM - 5 PM,Medium,Active,Outdoor
